BUSINESS_DATE,SECURITY_NAME,SYMBOL,MARKET_CAPITALIZATION
2023-07-16,10 % NMB DEBENTURE 2085,NMBD2085,
2023-07-13,10 % NMB DEBENTURE 2085,NMBD2085,
2023-07-16,10% Laxmi Bank Debenture 2086,LBLD86,
2023-07-13,10% Laxmi Bank Debenture 2086,LBLD86,
2023-07-16,10% Nabil Debenture 2082,NBLD82,
2023-07-13,10% Nabil Debenture 2082,NBLD82,
2023-07-13,10% Nepal SBI Bank Debenture 2086,SBIBD86,
2023-07-16,10% Prabhu Bank Debenture 2084 ,PBLD84,
2023-07-13,10% Prabhu Bank Debenture 2084 ,PBLD84,
2023-07-17,10% Prime Debenture 2088,PBD88,
2023-07-16,10% Prime Debenture 2088,PBD88,
2023-07-13,10% Prime Debenture 2088,PBD88,
2023-07-16,10% Sanima Bank Limited Debenture,SAND2085,2261.6
2023-07-13,10% Sunrise Debenture 2080,SRD80,1020.0
2023-07-13,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,110838.05
2023-07-17,10.25% KBL Debenture 2086,KBLD86,
2023-07-16,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,
2023-07-16,10.25% NBBL Debenture 2085,NBBD2085,
2023-07-13,10.25% NBBL Debenture 2085,NBBD2085,
2023-07-16,10.25% NIC Asia Debenture 2083/84,NICD83/84,
2023-07-13,10.25% NIC Asia Debenture 2083/84,NICD83/84,
2023-07-16,10.25% Nepal SBI Bank Debenture 2083,SBID83,
2023-07-16,10.25% Prabhu Bank  Debenture 2086,PBLD86,
2023-07-13,10.25% SBL Debenture 2083,SBLD83,
2023-07-13,10.25% Sunrise Bank Debenture 2083,SRBLD83,
2023-07-16,10.35% Agricultural Bank Debenture 2083,ADBLD83,
2023-07-13,10.35% Agricultural Bank Debenture 2083,ADBLD83,
2023-07-16,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,
2023-07-13,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,
2023-07-16,10.50% SBL Debenture 2082,SBLD2082,
2023-07-13,10.50% SBL Debenture 2082,SBLD2082,
2023-07-16,11% NIC Asia Debenture 082/83,NICAD8283,
2023-07-13,11% NIC Asia Debenture 082/83,NICAD8283,
2023-07-16,12 % Goodwill Finance Limited Debenture 2083,GWFD83,
2023-07-13,12 % Goodwill Finance Limited Debenture 2083,GWFD83,
2023-07-16,12% ICFC Finance Limited Debenture 2083,ICFCD83,
2023-07-13,12% ICFC Finance Limited Debenture 2083,ICFCD83,
2023-07-17,8.5% BOK Debenture 2086,BOKD86,1294.4
2023-07-16,8.5% BOK Debenture 2086,BOKD86,1375.04
2023-07-16,8.5% Laxmi Bank Debenture 2088,LBLD88,
2023-07-13,8.5% Nepal Bank Debenture 2087,NBLD87,
2023-07-17,8.5% Nepal Investment Bank Debenture 2084,NIBD84,
2023-07-16,8.5% Nepal Investment Bank Debenture 2084,NIBD84,
2023-07-13,8.5% Nepal Investment Bank Debenture 2084,NIBD84,
2023-07-16,8.5% Prabhu Bank Debenture 2087,PBLD87,
2023-07-13,8.5% Prabhu Bank Debenture 2087,PBLD87,
2023-07-17,8.5% SBL Debenture 2084,SBLD84,
2023-07-16,8.5% Sanima Debenture 2087,SBD87,
2023-07-13,8.5% Sanima Debenture 2087,SBD87,
2023-07-16,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,
2023-07-13,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,
2023-07-17,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,2474.18
2023-07-16,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,2375.42
2023-07-13,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,2386.43
2023-07-17,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,1489.94
2023-07-16,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,1473.61
2023-07-13,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,1489.07
2023-07-17,Agricultural Development Bank Limited,ADBL,32284.02
2023-07-16,Agricultural Development Bank Limited,ADBL,31463.47
2023-07-13,Agricultural Development Bank Limited,ADBL,30696.72
2023-07-17,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,1567.2
2023-07-16,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,1540.0
2023-07-13,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,1560.0
2023-07-17,Api Power Company Ltd.,API,11596.34
2023-07-16,Api Power Company Ltd.,API,11399.6
2023-07-13,Api Power Company Ltd.,API,11515.33
2023-07-17,Arun Kabeli Power Ltd.,AKPL,9464.91
2023-07-16,Arun Kabeli Power Ltd.,AKPL,9571.03
2023-07-13,Arun Kabeli Power Ltd.,AKPL,9685.31
2023-07-17,Arun Valley Hydropower Development Co. Ltd.,AHPC,4838.02
2023-07-16,Arun Valley Hydropower Development Co. Ltd.,AHPC,4763.3
2023-07-13,Arun Valley Hydropower Development Co. Ltd.,AHPC,4826.82
2023-07-17,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,3049.11
2023-07-16,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,2995.69
2023-07-13,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,2949.89
2023-07-17,Asian Hydropower Limited,AHL,1156.0
2023-07-16,Asian Hydropower Limited,AHL,1122.0
2023-07-13,Asian Hydropower Limited,AHL,1149.54
2023-07-17,Asian Life Insurance Co. Limited,ALICL,24166.45
2023-07-16,Asian Life Insurance Co. Limited,ALICL,23510.14
2023-07-13,Asian Life Insurance Co. Limited,ALICL,23664.75
2023-07-17,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,1920.0
2023-07-16,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,1747.5
2023-07-13,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,1790.0
2023-07-17,BPW Laghubitta Bittiya Sanstha Limited,BPW,369.6
2023-07-16,BPW Laghubitta Bittiya Sanstha Limited,BPW,336.0
2023-07-13,BPW Laghubitta Bittiya Sanstha Limited,BPW,339.9
2023-07-17,Balephi Hydropower Limited,BHL,4842.29
2023-07-16,Balephi Hydropower Limited,BHL,4752.72
2023-07-13,Balephi Hydropower Limited,BHL,4752.72
2023-07-17,Barahi Hydropower Public Limited,BHPL,1150.0
2023-07-16,Barahi Hydropower Public Limited,BHPL,1136.25
2023-07-13,Barahi Hydropower Public Limited,BHPL,1125.0
2023-07-17,Barun Hydropower Co. Ltd.,BARUN,1334.72
2023-07-16,Barun Hydropower Co. Ltd.,BARUN,1334.18
2023-07-13,Barun Hydropower Co. Ltd.,BARUN,1312.75
2023-07-17,Best Finance Company Ltd.,BFC,3128.63
2023-07-16,Best Finance Company Ltd.,BFC,3017.5
2023-07-13,Best Finance Company Ltd.,BFC,3025.2
2023-07-17,Bhugol Energy Development Company Limited,BEDC,1278.53
2023-07-16,Bhugol Energy Development Company Limited,BEDC,1263.29
2023-07-13,Bhugol Energy Development Company Limited,BEDC,1285.05
2023-07-17,Bindhyabasini Hydropower Development Company Limited,BHDC,4021.5
2023-07-16,Bindhyabasini Hydropower Development Company Limited,BHDC,4095.0
2023-07-13,Bindhyabasini Hydropower Development Company Limited,BHDC,4189.5
2023-07-17,Bishal Bazar Company Limited,BBC,1694.84
2023-07-16,Bishal Bazar Company Limited,BBC,1685.5
2023-07-13,Bishal Bazar Company Limited,BBC,1675.72
2023-07-17,Bottlers Nepal (Terai) Limited,BNT,16940.0
2023-07-13,Bottlers Nepal (Terai) Limited,BNT,16698.0
2023-07-17,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,1356.0
2023-07-16,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,1340.0
2023-07-13,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,1292.0
2023-07-17,Butwal Power Company Limited,BPCL,11352.19
2023-07-16,Butwal Power Company Limited,BPCL,11266.96
2023-07-13,Butwal Power Company Limited,BPCL,11157.87
2023-07-17,CEDB Hydropower Development Company Limited,CHDC,7789.72
2023-07-16,CEDB Hydropower Development Company Limited,CHDC,7588.27
2023-07-13,CEDB Hydropower Development Company Limited,CHDC,7579.87
2023-07-16,CITIZENS MUTUAL FUND 2,CMF2,581.84
2023-07-13,CITIZENS MUTUAL FUND 2,CMF2,529.76
2023-07-17,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL,4023.01
2023-07-16,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL,3756.58
2023-07-13,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL,3543.44
2023-07-17,Central Finance Co. Ltd.,CFCL,3857.18
2023-07-16,Central Finance Co. Ltd.,CFCL,3729.08
2023-07-13,Central Finance Co. Ltd.,CFCL,3719.59
2023-07-16,Century Debenture 2088,CCBD88,
2023-07-13,Century Debenture 2088,CCBD88,
2023-07-17,Chandragiri Hills Limited,CGH,20342.05
2023-07-16,Chandragiri Hills Limited,CGH,19636.36
2023-07-13,Chandragiri Hills Limited,CGH,19789.77
2023-07-17,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,28524.14
2023-07-16,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,28354.02
2023-07-13,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,27786.94
2023-07-17,Chhyangdi Hydropower Ltd.,CHL,1048.71
2023-07-16,Chhyangdi Hydropower Ltd.,CHL,1021.62
2023-07-13,Chhyangdi Hydropower Ltd.,CHL,1040.97
2023-07-17,Chilime Hydropower Company Limited,CHCL,39411.91
2023-07-16,Chilime Hydropower Company Limited,CHCL,38954.65
2023-07-13,Chilime Hydropower Company Limited,CHCL,39049.01
2023-07-17,Citizen Investment Trust,CIT,112545.23
2023-07-16,Citizen Investment Trust,CIT,111004.25
2023-07-13,Citizen Investment Trust,CIT,111216.8
2023-07-17,Citizens Bank International Limited,CZBIL,25306.14
2023-07-16,Citizens Bank International Limited,CZBIL,24581.89
2023-07-13,Citizens Bank International Limited,CZBIL,23999.65
2023-07-17,Citizens Mutual Fund -1,CMF1,738.0
2023-07-16,Citizens Mutual Fund -1,CMF1,769.16
2023-07-13,Citizens Mutual Fund -1,CMF1,765.88
2023-07-17,City Hotel Limited,CITY,11617.56
2023-07-16,City Hotel Limited,CITY,11384.87
2023-07-13,City Hotel Limited,CITY,11652.71
2023-07-16,Civil Bank Debenture 2088,CBLD88,
2023-07-13,Civil Bank Debenture 2088,CBLD88,
2023-07-17,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,2526.56
2023-07-16,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,2411.43
2023-07-13,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,2462.6
2023-07-17,Corporate Development Bank Limited,CORBL,1937.25
2023-07-16,Corporate Development Bank Limited,CORBL,1837.5
2023-07-13,Corporate Development Bank Limited,CORBL,1908.38
2023-07-13,Deprosc LaghuBitta Promoter Share,DDBLPO,22.0
2023-07-17,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,12968.65
2023-07-16,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,12811.99
2023-07-13,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,12751.5
2023-07-17,Dibyashwori Hydropower Ltd.,DHPL,501.6
2023-07-16,Dibyashwori Hydropower Ltd.,DHPL,488.4
2023-07-13,Dibyashwori Hydropower Ltd.,DHPL,502.13
2023-07-17,Dolti Power Company Limited,DOLTI,1239.28
2023-07-16,Dolti Power Company Limited,DOLTI,1223.19
2023-07-13,Dolti Power Company Limited,DOLTI,1241.43
2023-07-17,Dordi Khola Jal Bidyut Company Limited,DORDI,2634.6
2023-07-16,Dordi Khola Jal Bidyut Company Limited,DORDI,2582.94
2023-07-13,Dordi Khola Jal Bidyut Company Limited,DORDI,2602.97
2023-07-17,Eastern Hydropower Limited,EHPL,1963.54
2023-07-16,Eastern Hydropower Limited,EHPL,1928.2
2023-07-13,Eastern Hydropower Limited,EHPL,1940.6
2023-07-17,Emerging Nepal Limited,ENL,3972.54
2023-07-16,Emerging Nepal Limited,ENL,3866.98
2023-07-13,Emerging Nepal Limited,ENL,3845.31
2023-07-17,Everest Bank Limited,EBL,62209.42
2023-07-16,Everest Bank Limited,EBL,60230.27
2023-07-16,Everest Bank Limited,EBLD86,
2023-07-13,Everest Bank Limited,EBL,60123.29
2023-07-13,Everest Bank Limited,EBLD86,
2023-07-17,Excel Development Bank Ltd.,EDBL,4198.97
2023-07-16,Excel Development Bank Ltd.,EDBL,4066.51
2023-07-13,Excel Development Bank Ltd.,EDBL,4074.0
2023-07-17,First Micro Finance Laghubitta Bittiya Sanstha Limited,FMDBL,8631.05
2023-07-16,First Micro Finance Laghubitta Bittiya Sanstha Limited,FMDBL,8450.85
2023-07-13,First Micro Finance Laghubitta Bittiya Sanstha Limited,FMDBL,8608.09
2023-07-17,Forward Microfinance Laghubitta Bittiya Sanstha Limited,FOWAD,14461.23
2023-07-16,Forward Microfinance Laghubitta Bittiya Sanstha Limited,FOWAD,13944.0
2023-07-13,Forward Microfinance Laghubitta Bittiya Sanstha Limited,FOWAD,14144.56
2023-07-17,Ganapati Laghubitta Bittiya Sanstha Limited,GMFBS,1242.75
2023-07-16,Ganapati Laghubitta Bittiya Sanstha Limited,GMFBS,1228.96
2023-07-13,Ganapati Laghubitta Bittiya Sanstha Limited,GMFBS,1209.1
2023-07-17,Garima Bikas Bank Limited,GBBL,21103.51
2023-07-16,Garima Bikas Bank Limited,GBBL,21010.13
2023-07-13,Garima Bikas Bank Limited,GBBL,19936.28
2023-07-17,Ghalemdi Hydro Limited,GHL,1221.0
2023-07-16,Ghalemdi Hydro Limited,GHL,1221.0
2023-07-13,Ghalemdi Hydro Limited,GHL,1214.4
2023-07-17,Global IME Balanced Fund-1,GIBF1,930.37
2023-07-16,Global IME Balanced Fund-1,GIBF1,958.06
2023-07-13,Global IME Balanced Fund-1,GIBF1,939.6
2023-07-17,Global IME Bank Limited,GBIME,68143.87
2023-07-16,Global IME Bank Limited,GBIME,66534.17
2023-07-13,Global IME Bank Limited,GBIME,65639.89
2023-07-16,Global IME Bank Limited Debenture 2086/87,GBILD86/87,
2023-07-13,Global IME Bank Limited Debenture 2086/87,GBILD86/87,
2023-07-13,Global IME Bank Ltd. Promoter Share,GBIMEP,10.3
2023-07-17,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,6528.78
2023-07-16,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,6566.53
2023-07-13,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,6250.89
2023-07-17,Goodwill Finance Limited,GFCL,4806.27
2023-07-16,Goodwill Finance Limited,GFCL,4569.74
2023-07-13,Goodwill Finance Limited,GFCL,4560.28
2023-07-17,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,6170.1
2023-07-16,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,6219.23
2023-07-13,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,5689.66
2023-07-17,Green Development Bank Ltd.,GRDBL,1660.8
2023-07-16,Green Development Bank Ltd.,GRDBL,1588.14
2023-07-13,Green Development Bank Ltd.,GRDBL,1608.9
2023-07-17,Green Ventures Limited,GVL,12875.0
2023-07-16,Green Ventures Limited,GVL,12031.25
2023-07-13,Green Ventures Limited,GVL,12128.13
2023-07-17,GreenLife Hydropower Limited,GLH,4734.0
2023-07-16,GreenLife Hydropower Limited,GLH,4599.0
2023-07-13,GreenLife Hydropower Limited,GLH,4680.0
2023-07-17,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,4261.26
2023-07-16,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,4016.31
2023-07-13,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,4046.68
2023-07-17,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,760.5
2023-07-16,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,748.33
2023-07-13,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,749.35
2023-07-17,Gurkhas Finance Ltd.,GUFL,5017.0
2023-07-16,Gurkhas Finance Ltd.,GUFL,4860.76
2023-07-13,Gurkhas Finance Ltd.,GUFL,4903.3
2023-07-17,Himal Dolakha Hydropower Company Limited,HDHPC,4340.0
2023-07-16,Himal Dolakha Hydropower Company Limited,HDHPC,4256.0
2023-07-13,Himal Dolakha Hydropower Company Limited,HDHPC,4309.2
2023-07-17,Himalaya Urja Bikas Company Limited,HURJA,2712.6
2023-07-16,Himalaya Urja Bikas Company Limited,HURJA,2712.6
2023-07-13,Himalaya Urja Bikas Company Limited,HURJA,2692.8
2023-07-17,Himalayan Bank Limited,HBL,46994.86
2023-07-16,Himalayan Bank Limited,HBL,46085.28
2023-07-13,Himalayan Bank Limited,HBL,45240.67
2023-07-17,Himalayan Distillery Limited,HDL,55369.82
2023-07-16,Himalayan Distillery Limited,HDL,54616.66
2023-07-13,Himalayan Distillery Limited,HDL,54446.59
2023-07-17,Himalayan Everest Insurance Limited,HEI,14269.52
2023-07-16,Himalayan Everest Insurance Limited,HEI,13809.21
2023-07-13,Himalayan Everest Insurance Limited,HEI,13924.29
2023-07-17,Himalayan Everest Insurance Limited Promoter,HEIP,1255.13
2023-07-16,Himalayan Everest Insurance Limited Promoter,HEIP,1230.52
2023-07-13,Himalayan Everest Insurance Limited Promoter,HEIP,1203.77
2023-07-17,Himalayan Hydropower Limited,HHL,2792.25
2023-07-16,Himalayan Hydropower Limited,HHL,2726.55
2023-07-13,Himalayan Hydropower Limited,HHL,2836.05
2023-07-17,Himalayan Life Insurance Limited,HLI,41385.18
2023-07-16,Himalayan Life Insurance Limited,HLI,40663.34
2023-07-13,Himalayan Life Insurance Limited,HLI,40663.34
2023-07-17,Himalayan Power Partner Ltd.,HPPL,3079.06
2023-07-16,Himalayan Power Partner Ltd.,HPPL,3046.03
2023-07-13,Himalayan Power Partner Ltd.,HPPL,3100.36
2023-07-17,Hydorelectricity Investment and Development Company Limited Promoter,HIDCLP,10.42
2023-07-16,Hydorelectricity Investment and Development Company Limited Promoter,HIDCLP,10.28
2023-07-13,Hydorelectricity Investment and Development Company Limited Promoter,HIDCLP,10.39
2023-07-17,Hydorelectricity Investment and Development Company Ltd,HIDCL,42841.28
2023-07-16,Hydorelectricity Investment and Development Company Ltd,HIDCL,41907.47
2023-07-13,Hydorelectricity Investment and Development Company Ltd,HIDCL,41884.7
2023-07-17,ICFC Finance Limited,ICFC,6367.07
